B65D	IV	CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES
B65G	IV	TRANSPORT OR STORAGE DEVICES, e.g. CONVEYORS FOR LOADING OR TIPPING, SHOP CONVEYOR SYSTEMS OR PNEUMATIC TUBE CONVEYORS
B65J	IV	Invalid Code
B65H	IV	 HANDLING THIN OR FILAMENTARY MATERIAL, e.g. SHEETS, WEBS, CABLES
B66	IV	HOISTING; LIFTING; HAULING
B67	IV	OPENING OR CLOSING BOTTLES, JARS OR SIMILAR CONTAINERS; LIQUID HANDLING
B99Z	IV	SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
C03B	IV	MANUFACTURE OR SHAPING OF GLASS, OR OF MINERAL OR SLAG WOOL; SUPPLEMENTARY PROCESSES IN THE MANUFACTURE OR SHAPING OF GLASS, OR OF MINERAL OR SLAG WOOL
C08J	IV	WORKING-UP; GENERAL PROCESSES OF COMPOUNDING;
C12L	IV	PITCHING OR DEPITCHING MACHINES; CELLAR TOOLS
C13C	IV	 CUTTING MILLS; SHREDDING KNIVES; PULP PRESSES
C13G	IV	EVAPORATION APPARATUS; BOILING PANS
C13H	IV	 CUTTING MACHINES FOR SUGAR; COMBINED CUTTING, SORTING AND PACKING MACHINES FOR SUGAR
C14B	IV	MECHANICAL TREATMENT AND PROCESSING OF SKINS, HIDES, AND LEATHER IN GENERAL; PELT-SHEARING MACHINES; INTESTINE-SPLITTING MACHINES
D01	IV	 NATURAL OR MAN-MADE THREADS OR FIBRES; SPINNING
D02	IV	YARNS; MECHANICAL FINISHING OF YARNS OR ROPES; WARPING OR BEAMING
D03	IV	WEAVING; SHEDDING MECHANISMS; PATTERN CARDS OR CHAINS; PUNCHING OF CARDS; DESIGNING PATTERNS; WOVEN FABRICS; METHODS OF WEAVING; LOOMS; AUXILIARY WEAVING APPARATUS; WEAVERS' TOOLS; SHUTTLES
D04B	IV	KNITTING
D04C	IV	 BRAIDING OR MANUFACTURE OF LACE, INCLUDING BOBBIN-NET OR CARBONISED LACE; BRAIDING MACHINES; BRAID; LACE
D04G	IV	MAKING NETS BY KNOTTING OF FILAMENTARY MATERIAL; MAKING KNOTTED CARPETS OR TAPESTRIES; KNOTTING NOT OTHERWISE PROVIDED FOR
D04H	IV	 MAKING TEXTILE FABRICS, e.g. FROM FIBRES OR FILAMENTARY MATERIAL ; FABRICS MADE BY SUCH PROCESSES OR APPARATUS, e.g. FELTS, NON-WOVEN FABRICS; COTTON-WOOL; WADDING
D05	IV	SEWING; EMBROIDERING; TUFTING
D06G	IV	MECHANICAL OR PRESSURE CLEANING OF CARPETS, RUGS, SACKS, HIDES, OR OTHER SKIN OR TEXTILE ARTICLES OR FABRICS; TURNING INSIDE-OUT FLEXIBLE TUBULAR OR OTHER HOLLOW ARTICLES
D06H	IV	 MARKING, INSPECTING, SEAMING OR SEVERING TEXTILE MATERIALS
D06J	IV	 PLEATING, KILTING OR GOFFERING TEXTILE FABRICS OR WEARING APPAREL
D06M	IV	TREATMENT, NOT PROVIDED FOR ELSEWHERE IN CLASS D06, OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS OR FIBROUS GOODS MADE FROM SUCH MATERIALS
D06P	IV	DYEING OR PRINTING TEXTILES; DYEING LEATHER, FURS OR SOLID MACROMOLECULAR SUBSTANCES IN ANY FORM
D06Q	IV	 DECORATING TEXTILES
D21	IV	PAPER-MAKING; PRODUCTION OF CELLULOSE
D99Z	IV	SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
F01	IV	MACHINES OR ENGINES IN GENERAL; ENGINE PLANTS IN GENERAL; STEAM ENGINES
F02	IV	COMBUSTION ENGINES; HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS
F03	IV	MACHINES OR ENGINES FOR LIQUIDS; WIND, SPRING, OR WEIGHT MOTORS; PRODUCING MECHANICAL POWER OR A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR
F04	IV	POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS; PUMPS FOR LIQUIDS OR ELASTIC FLUIDS
F06D	IV	Invalid Code
F06K	IV	Invalid Code
F06L	IV	Invalid Code
F15	IV	FLUID-PRESSURE ACTUATORS; HYDRAULICS OR PNEUMATICS IN GENERAL
F16	IV	ENGINEERING ELEMENTS OR UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
F17	IV	STORING OR DISTRIBUTING GASES OR LIQUIDS
F22	IV	STEAM GENERATION
F23B	IV	METHODS OR APPARATUS FOR COMBUSTION USING ONLY SOLID FUEL
F23C	IV	 METHODS OR APPARATUS FOR COMBUSTION USING FLUID FUEL OR SOLID FUEL SUSPENDED IN AIR
F23D	IV	BURNERS:
F23H	IV	GRATES ; CLEANING OR RAKING GRATES
F23K	IV	 FEEDING FUEL TO COMBUSTION APPARATUS
F23L	IV	SUPPLYING AIR OR NON-COMBUSTIBLE LIQUIDS OR GASES TO COMBUSTION APPARATUS IN GENERAL ; VALVES OR DAMPERS SPECIALLY ADAPTED FOR CONTROLLING AIR SUPPLY OR DRAUGHT IN COMBUSTION APPARATUS; INDUCING DRAUGHT IN COMBUSTION APPARATUS; TOPS FOR CHIMNEYS OR VENTILATING SHAFTS; TERMINALS FOR FLUES
F23M	IV	CASINGS, LININGS, WALLS OR DOORS SPECIALLY ADAPTED FOR COMBUSTION CHAMBERS, e.g. FIREBRIDGES; DEVICES FOR DEFLECTING AIR, FLAMES OR COMBUSTION PRODUCTS IN COMBUSTION CHAMBERS; SAFETY ARRANGEMENTS SPECIALLY ADAPTED FOR COMBUSTION APPARATUS; DETAILS OF COMBUSTION CHAMBERS, NOT OTHERWISE PROVIDED FOR
F23N	IV	REGULATING OR CONTROLLING COMBUSTION
F23Q	IV	IGNITION; EXTINGUISHING DEVICES
F23R	IV	 GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY, e.g. GAS-TURBINE COMBUSTION CHAMBERS
F24	IV	HEATING; RANGES; VENTILATING
F25B	IV	REFRIGERATION MACHINES, PLANTS, OR SYSTEMS; COMBINED HEATING AND REFRIGERATION SYSTEMS; HEAT PUMP SYSTEMS
F25C	IV	PRODUCING, WORKING OR HANDLING ICE
F27	IV	FURNACES; KILNS, OVENS OR RETORTS
F28	IV	HEAT EXCHANGE IN GENERAL
F41	IV	WEAPONS
F42	IV	AMMUNITION; BLASTING
F99Z	IV	SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
G05G	IV	CONTROL DEVICES OR SYSTEMS INSOFAR AS CHARACTERISED BY MECHANICAL FEATURES ONLY
G21	IV	NUCLEAR PHYSICS; NUCLEAR ENGINEERING
A24	V	TOBACCO; CIGARS; CIGARETTES; SIMULATED SMOKING DEVICES; SMOKERS' REQUISITES
A41B	V	SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS
A41C	V	CORSETS; BRASSIÈRES
A41D	V	OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES
A41F	V	GARMENT FASTENINGS; SUSPENDERS
A41G	V	ARTIFICIAL FLOWERS; WIGS; MASKS; FEATHERS
A42	V	HEADWEAR
A43B	V	CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR
A43C	V	FASTENINGS OR ATTACHMENTS FOR FOOTWEAR; LACES IN GENERAL
A44	V	HABERDASHERY; JEWELLERY
A45	V	HAND OR TRAVELLING ARTICLES
A46B	V	BRUSHES
A47	V	FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL
A62B	V	DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING
A63	V	SPORTS; GAMES; AMUSEMENTS
A99Z	V	SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
B42	V	BOOKBINDING; ALBUMS; FILES; SPECIAL PRINTED MATTER
B43	V	WRITING OR DRAWING IMPLEMENTS; BUREAU ACCESSORIES
B44	V	DECORATIVE ARTS
B68	V	SADDLERY; UPHOLSTERY
D04D	V	TRIMMINGS; RIBBONS, TAPES, OR BANDS, NOT OTHERWISE PROVIDED FOR
D06F	V	LAUNDERING, DRYING, IRONING, PRESSING OR FOLDING TEXTILE ARTICLES
D06N	V	WALL, FLOOR, OR LIKE COVERING MATERIALS, E.G. LINOLeUm, OILCLOTH, ARTIFICIAL LEATHER, ROOFING FELT, CONSISTING OF A FIBROUS WEB COATED WITH A LAYER OF MACROMOLECULAR MATERIAL; FLEXIBLE SHEET MATERIAL NOT OTHERWISE PROVIDED FOR
D07	V	ROPES; CABLES OTHER THAN ELECTRIC
E0	V	CONSTRUCTION OF ROADS, RAILWAYS, OR BRIDGES; HYDRAULIC ENGINEERING; FOUNDATIONS; SOIL-SHIFTING; WATER SUPPLY; SEWERAGE; BUILDING; LOCKS; KEYS; WINDOW OR DOOR FITTINGS; SAFES; DOORS, WINDOWS, SHUTTERS, OR ROLLER BLINDS, IN GENERAL; LADDERS
E21	V	EARTH OR ROCK DRILLING; MINING
E99Z	V	 SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
F25D	V	REFRIGERATORS; COLD ROOMS; ICE-BOXES; COOLING OR FREEZING APPARATUS NOT COVERED BY ANY OTHER SUBCLASS
G10B	V	 ORGANS, HARMONIUMS OR SIMILAR WIND MUSICAL INSTRUMENTS WITH ASSOCIATED BLOWING APPARATUS
G10C	V	PIANOS, HARPSICHORDS, SPINETS OR SIMILAR STRINGED MUSICAL INSTRUMENTS WITH ONE OR MORE KEYBOARDS
G10D	V	STRINGED MUSICAL INSTRUMENTS; WIND MUSICAL INSTRUMENTS; ACCORDIONS OR CONCERTINAS; PERCUSSION MUSICAL INSTRUMENTS; AEOLIAN HARPS; SINGING-FLAME MUSICAL INSTRUMENTS; MUSICAL INSTRUMENTS NOT OTHERWISE PROVIDED FOR
G10F	V	AUTOMATIC MUSICAL INSTRUMENTS
G10G	V	AIDS FOR MUSIC; SUPPORTS FOR MUSICAL INSTRUMENTS; OTHER AUXILIARY DEVICES OR ACCESSORIES FOR MUSIC OR MUSICAL INSTRUMENTS
G10H	V	 ELECTROPHONIC MUSICAL INSTRUMENTS; INSTRUMENTS IN WHICH THE TONES ARE GENERATED BY ELECTROMECHANICAL MEANS OR ELECTRONIC GENERATORS, OR IN WHICH THE TONES ARE SYNTHESISED FROM A DATA STORE
G10K	V	SOUND-PRODUCING DEVICES; METHODS OR DEVICES FOR PROTECTING AGAINST, OR FOR DAMPING, NOISE OR OTHER ACOUSTIC WAVES IN GENERAL; ACOUSTICS NOT OTHERWISE PROVIDED FOR
	I
